GeneID	Length	logFC	logCPM	LR	PValue	FDR
ENSG00000166147	16057	-3.3407170374011	5.65368203222028	43.7072304460423	3.8136022587513e-11	6.72283768955584e-09
ENSG00000105854	3843	-3.38986504593409	4.9475873547687	43.4018589608572	4.45764457893298e-11	7.70761939628399e-09
ENSG00000073350	7909	-4.38180863803316	3.7469507150109	42.2389619777212	8.07746273760353e-11	1.37851867317984e-08
ENSG00000151012	9645	-2.89657774437566	5.89619208894891	41.7125841752929	1.05726290055587e-10	1.78121689438522e-08
ENSG00000061918	3724	-3.41070513870761	3.60165100214955	39.8054819060485	2.80556552609731e-10	4.49608982663961e-08
ENSG00000137968	6299	-3.33695945536799	4.06703991856205	38.0070789191565	7.04884177935229e-10	1.07707941654033e-07
ENSG00000099994	5279	-8.37632475870363	7.28364093566029	37.8158824812285	7.77462259853154e-10	1.17432546629084e-07
ENSG00000099282	2646	-3.02201346483107	5.36280644792115	37.7697862494129	7.96051908868911e-10	1.18874069709618e-07
ENSG00000067606	7636	-3.15148983058261	4.47674376494653	37.5078182575427	9.10472952742381e-10	1.34432865977389e-07
ENSG00000135114	3517	-3.31244243379749	5.00752232460979	37.3059534975476	1.00975879348173e-09	1.47436003390482e-07
ENSG00000196352	5568	-2.85964593125422	7.99902441554116	36.9687800902098	1.20035931160054e-09	1.71918458968785e-07
ENSG00000197822	6761	-3.27948779669534	4.01990806536493	36.4970791641272	1.52895192317595e-09	2.13744225770799e-07
ENSG00000138675	5998	-3.93171465368178	5.91299490330977	36.1019405799332	1.87260268907234e-09	2.56621842799978e-07
ENSG00000117318	1797	-2.62594680650654	6.96867825861102	36.0997384011764	1.87472010568433e-09	2.56621842799978e-07
ENSG00000165801	8189	-2.94159166734781	4.90733009252667	36.0085076853616	1.96457881238663e-09	2.66149795603843e-07
ENSG00000139318	4632	-3.35103777904368	8.68114927980542	35.6184625870404	2.40002065466734e-09	3.18572438615995e-07
ENSG00000075213	9371	-3.82169479480311	3.42227001382028	34.7816341198785	3.68836530519896e-09	4.78596211210821e-07
ENSG00000137841	7350	-3.80033158205869	2.92735578561609	34.7706540890779	3.70922604690216e-09	4.78596211210821e-07
ENSG00000182621	15755	-2.88426601336451	4.69284868492832	34.7677057178692	3.71484769374505e-09	4.78596211210821e-07
ENSG00000075618	3692	-2.55049390296057	5.6368150218073	33.9165156219465	5.75282790771628e-09	7.25222120557496e-07
ENSG00000128833	10045	-3.68596834186156	4.35193852451178	33.9024015098741	5.79471293345537e-09	7.25222120557496e-07
ENSG00000071282	9130	-4.29636843517529	5.15299530760797	33.529237089194	7.02007685016201e-09	8.70290847999802e-07
ENSG00000172086	1753	-3.06622000965361	4.86435782094163	33.437505624556	7.35910248502822e-09	9.037940724837e-07
ENSG00000136205	11797	-2.72217733839374	6.8577016105909	32.9387633357627	9.5107866528919e-09	1.14661694867571e-06
ENSG00000158528	11151	-3.04873562838786	3.73342639425304	32.8195485885855	1.01122789879475e-08	1.2080496198238e-06
ENSG00000091490	7489	-3.94097645650744	3.51707670242466	32.6516938524582	1.10243300235923e-08	1.30514162918942e-06
ENSG00000150593	4547	-2.2957854543782	6.75988265619378	32.2251428429417	1.37302441549003e-08	1.61097445035308e-06
ENSG00000073464	6789	-2.5701064976937	5.00051071038989	32.164915078528	1.41625271623311e-08	1.6469891100902e-06
ENSG00000147231	4853	-3.05769016951996	4.67778865891298	32.1421326804775	1.43295780226784e-08	1.65179811224576e-06
ENSG00000187098	7193	-2.66802448410893	4.67894959201397	31.9859611224365	1.55290802445055e-08	1.75920382321592e-06
ENSG00000151150	25614	-4.54596188739365	3.73986574711993	31.6156512950954	1.87908997585427e-08	2.10893778691802e-06
ENSG00000157303	1263	-3.37126858050386	3.31649789339658	31.6005833161713	1.89372695271537e-08	2.10893778691802e-06
ENSG00000150782	2628	-3.39588971873582	4.45711385198718	31.5308776082232	1.96293915167807e-08	2.16764566321021e-06
ENSG00000129472	3610	-2.58628582415445	4.84775404278221	31.4196813335942	2.07863161519155e-08	2.24605377381269e-06
ENSG00000054793	8317	-3.4692354393644	3.01341694549579	31.4135383651519	2.08521847960694e-08	2.24605377381269e-06
ENSG00000111700	3542	-3.31337874071915	3.26408500916297	31.2149711220752	2.30977874147082e-08	2.46770751558277e-06
ENSG00000143515	7572	-2.5494311549717	5.1477234378306	31.1529650029902	2.38474828438935e-08	2.51342195306527e-06
ENSG00000106537	2224	-3.37337268346827	4.54061279367212	31.1432600286454	2.396700883435e-08	2.51342195306527e-06
ENSG00000181031	6066	-2.42952202420061	5.83688659706035	31.1325610643059	2.40994723450441e-08	2.51342195306527e-06
ENSG00000052802	2892	-2.80020373296515	6.75799765045678	31.0276140970916	2.54383372578041e-08	2.61160304613128e-06
ENSG00000111058	14301	-2.57131329359267	5.56592063922672	30.7714127812891	2.90282886098646e-08	2.91191405055138e-06
ENSG00000126803	5777	-2.82532238826061	4.03188716126837	30.6778923313392	3.04616044428802e-08	3.01827077691785e-06
ENSG00000278597	49	-4.98463788875019	5.83590840433663	30.6724030182831	3.05479045224925e-08	3.01827077691785e-06
ENSG00000143416	3504	-4.12443017509518	5.43156890048395	30.6087330936483	3.15669669170059e-08	3.0936282671397e-06
ENSG00000102893	11822	-2.45985721179413	6.77140626017964	30.4713718463955	3.38829878891554e-08	3.27394370478964e-06
ENSG00000005469	4979	-2.68011404889605	4.27853513580902	30.3381575941025	3.62915895547226e-08	3.44901089159585e-06
ENSG00000047346	9832	-3.19384419569923	3.93538177420168	30.3279968580109	3.64821941961665e-08	3.44901089159585e-06
ENSG00000134294	6602	-2.6486470121988	8.93808398963347	30.072797882073	4.16127540821571e-08	3.9059514385259e-06
ENSG00000119917	2640	-2.51628891209057	6.33350524592031	29.7353603934233	4.95232015731811e-08	4.5509398033089e-06
ENSG00000049130	6040	-3.31496373346455	4.03640008941177	29.3788397048489	5.95240511828118e-08	5.36877769370118e-06
ENSG00000131018	46064	-2.97769200959352	3.84022615835174	28.9119291244484	7.57449891575864e-08	6.68030135919357e-06
ENSG00000102934	8720	-4.1165350416353	3.45025203930411	28.5454215895803	9.15259916833585e-08	8.0182870447401e-06
ENSG00000131435	3192	-2.41964375188994	5.91498452655523	28.4434568265132	9.64752688400479e-08	8.39590402534483e-06
ENSG00000163683	6721	-3.00290174697924	4.54951127509658	28.3019375106935	1.03792047033056e-07	8.89808114844675e-06
ENSG00000158856	4473	-3.40305912623102	2.941761904048	28.2831295364332	1.04805426950002e-07	8.89808114844675e-06
ENSG00000110811	4601	-3.01528551505851	3.20165698873636	28.2803845037803	1.04954157066376e-07	8.89808114844675e-06
ENSG00000183914	17231	-2.65419933174809	4.23541640619026	28.1256591063501	1.13688532674204e-07	9.53704793835624e-06
ENSG00000164078	5252	-2.94986111789975	4.80346206455607	28.1090548642078	1.14668105491233e-07	9.53704793835624e-06
